rule,support,confidence
['caa-0'] -> ['output-1'],0.429042904290429,0.7428571428571428
['thall-2'] -> ['output-1'],0.429042904290429,0.7831325301204819
"['exng-0', 'oldpeak(-0.0062, 1.55]'] -> ['output-1']",0.40594059405940597,0.75
"['oldpeak(-0.0062, 1.55]', 'thall-2'] -> ['output-1']",0.38283828382838286,0.8285714285714286
"['fbs-0', 'caa-0'] -> ['output-1']",0.3795379537953795,0.7419354838709677
"['fbs-0', 'thall-2'] -> ['output-1']",0.37623762376237624,0.7808219178082192
"['exng-0', 'thall-2'] -> ['output-1']",0.37623762376237624,0.8444444444444444
"['oldpeak(-0.0062, 1.55]', 'caa-0'] -> ['output-1']",0.37293729372937295,0.8188405797101449
"['exng-0', 'caa-0'] -> ['output-1']",0.3696369636963696,0.8549618320610686
['slp-2'] -> ['output-1'],0.35313531353135313,0.7535211267605634
"['fbs-0', 'exng-0', 'oldpeak(-0.0062, 1.55]'] -> ['output-1']",0.3465346534653465,0.7446808510638296
"['caa-0', 'thall-2'] -> ['output-1']",0.33663366336633666,0.8947368421052632
"['fbs-0', 'oldpeak(-0.0062, 1.55]', 'thall-2'] -> ['output-1']",0.33663366336633666,0.8292682926829268
"['oldpeak(-0.0062, 1.55]', 'thall-2'] -> ['output-1', 'fbs-0']",0.33663366336633666,0.7285714285714286
"['oldpeak(-0.0062, 1.55]', 'thall-2'] -> ['output-1', 'exng-0']",0.33663366336633666,0.7285714285714286
"['exng-0', 'oldpeak(-0.0062, 1.55]', 'thall-2'] -> ['output-1']",0.33663366336633666,0.8793103448275862
"['exng-0', 'thall-2'] -> ['output-1', 'oldpeak(-0.0062, 1.55]']",0.33663366336633666,0.7555555555555556
"['slp-2'] -> ['output-1', 'oldpeak(-0.0062, 1.55]']",0.3333333333333333,0.7112676056338028
"['oldpeak(-0.0062, 1.55]', 'caa-0'] -> ['output-1', 'fbs-0']",0.3333333333333333,0.7318840579710144
"['slp-2', 'oldpeak(-0.0062, 1.55]'] -> ['output-1']",0.3333333333333333,0.7709923664122137
"['fbs-0', 'oldpeak(-0.0062, 1.55]', 'caa-0'] -> ['output-1']",0.3333333333333333,0.8079999999999999
"['exng-0', 'thall-2'] -> ['output-1', 'fbs-0']",0.33003300330033003,0.7407407407407407
"['fbs-0', 'exng-0', 'thall-2'] -> ['output-1']",0.33003300330033003,0.847457627118644
"['exng-0', 'caa-0'] -> ['output-1', 'fbs-0']",0.3234323432343234,0.748091603053435
"['fbs-0', 'exng-0', 'caa-0'] -> ['output-1']",0.3234323432343234,0.8376068376068375
"['exng-0', 'oldpeak(-0.0062, 1.55]', 'caa-0'] -> ['output-1']",0.3201320132013201,0.8660714285714286
"['exng-0', 'caa-0'] -> ['output-1', 'oldpeak(-0.0062, 1.55]']",0.3201320132013201,0.7404580152671755
"['oldpeak(-0.0062, 1.55]', 'caa-0'] -> ['output-1', 'exng-0']",0.3201320132013201,0.7028985507246376
"['exng-0', 'slp-2'] -> ['output-1']",0.3102310231023102,0.8103448275862067
"['caa-0', 'thall-2'] -> ['output-1', 'fbs-0']",0.30363036303630364,0.8070175438596492
"['fbs-0', 'caa-0', 'thall-2'] -> ['output-1']",0.30363036303630364,0.8846153846153847
"['fbs-0', 'slp-2'] -> ['output-1']",0.30033003300330036,0.7459016393442623
"['caa-0', 'thall-2'] -> ['output-1', 'oldpeak(-0.0062, 1.55]']",0.30033003300330036,0.7982456140350878
"['oldpeak(-0.0062, 1.55]', 'caa-0', 'thall-2'] -> ['output-1']",0.30033003300330036,0.9191919191919192
